Manuf;Model;Desc;Engine_Capacity;Fuel_Type;Powertrain;Euro_Standard;Diesel_VED_Supplement;Fuel_Cost;Electric_Cost;Total_Cost;Noise_Level
ABARTH;595;695 RIVALE 1.4 TJET 180bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,069;£0;£2,069;71.5
ABARTH;595;695 RIVALE 1.4 TJET 180bhp;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,096;£0;£2,096;74.0
ABARTH;595;695 RIVALE 1.4 TJET 180bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,069;£0;£2,069;71.5
ABARTH;595;695 RIVALE 1.4 TJET 180bhp Convertible;1368;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£2,096;£0;£2,096;74.0
ALFA ROMEO;Giulia MY21;GIULIA GTA MY21 2.9 V6 BI-TURBO 540HP;2891;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,903;£0;£2,903;71.0
ALFA ROMEO;Giulia MY21;GIULIA GTAm MY21 2.9 V6 BI-TURBO 540HP;2891;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,903;£0;£2,903;71.0
ALFA ROMEO;Giulia MY21;GIULIA MY21 2.0 TURBO PETROL 200HP SPRINT;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,935;£0;£1,935;68.0
ALFA ROMEO;Giulia MY21;GIULIA MY21 2.0 TURBO PETROL 200HP SPRINT;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,069;£0;£2,069;68.0
ALFA ROMEO;Giulia MY21;GIULIA MY21 2.0 TURBO PETROL 280HP VELOCE;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,720;£0;£1,720;67.0
ALFA ROMEO;Giulia MY21;GIULIA MY21 2.0 TURBO PETROL 280HP VELOCE;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,069;£0;£2,069;67.0
ALFA ROMEO;Giulia MY21;GIULIA MY21 2.0 TURBO PETROL 280HP VELOCE TI;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,720;£0;£1,720;67.0
ALFA ROMEO;Giulia MY21;GIULIA MY21 2.0 TURBO PETROL 280HP VELOCE TI;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,069;£0;£2,069;67.0
ALFA ROMEO;Giulia MY21;GIULIA QUADRIFOGLIO MY21 2.9 V6 BI-TURBO 510HP;2891;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,714;£0;£2,714;68.0
ALFA ROMEO;Giulia MY21;GIULIA QUADRIFOGLIO MY21 2.9 V6 BI-TURBO 510HP;2891;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,768;£0;£2,768;68.0
ALFA ROMEO;Giulia MY22;GIULIA MY21 2.0 TURBO PETROL 280HP ESTREMA;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,720;£0;£1,720;67.0
ALFA ROMEO;Giulia MY22;GIULIA MY21 2.0 TURBO PETROL 280HP ESTREMA;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,069;£0;£2,069;67.0
ALFA ROMEO;Stelvio MY21;STELVIO MY21 2.0 TURBO PETROL 200HP AWD SPRINT;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,258;£0;£2,258;68.0
ALFA ROMEO;Stelvio MY21;STELVIO MY21 2.0 TURBO PETROL 200HP AWD SPRINT;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,473;£0;£2,473;68.0
ALFA ROMEO;Stelvio MY21;STELVIO MY21 2.0 TURBO PETROL 280HP AWD VELOCE;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,231;£0;£2,231;68.0
ALFA ROMEO;Stelvio MY21;STELVIO MY21 2.0 TURBO PETROL 280HP AWD VELOCE;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,446;£0;£2,446;68.0
ALFA ROMEO;Stelvio MY21;STELVIO MY21 2.0 TURBO PETROL 280HP AWD VELOCE TI;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,231;£0;£2,231;68.0
ALFA ROMEO;Stelvio MY21;STELVIO MY21 2.0 TURBO PETROL 280HP AWD VELOCE TI;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,446;£0;£2,446;68.0
ALFA ROMEO;Stelvio MY21;STELVIO QUADRIFOGLIO MY21 2.9 V6 BI-TURBO 510HP;2891;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,171;£0;£3,171;68.0
ALFA ROMEO;Stelvio MY22;STELVIO MY21 2.0 TURBO PETROL 280HP AWD ESTREMA;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,231;£0;£2,231;68.0
ALFA ROMEO;Stelvio MY22;STELVIO MY21 2.0 TURBO PETROL 280HP AWD ESTREMA;1995;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£2,446;£0;£2,446;68.0
ALPINE;A110;A110;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,801;£0;£1,801;69.0
ALPINE;A110;A110;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;69.0
ALPINE;A110;A110 Color Edition DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
